Fi'l,Mudari,Masdar,Bengali,Baab,Amr,Nahi
سَجَدَ,يَسْجُدُ,السُجُودُ,সিজদা করা,نَصَرَ,اُسْجُدْ,لا تَسْجُدْ
دَخَلَ,يَدْخُلُ,الدُخُولُ,প্রবেশ করা,نَصَرَ,اُدْخُلْ,لا تَدْخُلْ
بَلَغَ,يَبْلُغُ,البُلُوغُ,পৌঁছানো,نَصَرَ,اُبْلُغْ,لا تَبْلُغْ
دَرَسَ,يَدْرُسُ,الدِرَاسَةُ,অধ্যায়ন করা,نَصَرَ,اُدْرُسْ,لا تَدْرُسْ
نَظَرَ,يَنْظُرُ,النَظَرُ,দেখা / লক্ষ করা,نَصَرَ,اُنْظُرْ,لا تَنْظُرْ
أَمَرَ,يَأْمُرُ,الأَمْرُ,আদেশ করা,نَصَرَ,اُؤْمُرْ,لا تَأْمُرْ
نَقَصَ,يَنْقُصُ,النَقْصُ,কমানো,نَصَرَ,اُنْقُصْ,لا تَنْقُصْ
أَكَلَ,يَأْكُلُ,الأَكْلُ,খাওয়া,نَصَرَ,كُلْ,لا تَأْكُلْ
أَخَذَ,يَأْخُذُ,الأَخْذُ,নেওয়া / গ্রহন করা,نَصَرَ,خُذْ,لا تَأْخُذْ
شَعَرَ,يَشْعُرُ,الشُعُورُ,অনুভব করা,نَصَرَ,اُشْعُرْ,لا تَشْعُرْ
حَصَلَ,يَحْصُلُ,الحُصُولُ,অর্জিত হওয়া,نَصَرَ,اُحْصُلْ,لا تَحْصُلْ
سَكَنَ,يَسْكُنُ,السَّكَنُ,বসবাস করা,نَصَرَ,اُسْكُنْ,لا تَسْكُنْ
عَبَدَ,يَعْبُدُ,العِبَادَةُ,ইবাদত করা,نَصَرَ,اُعْبُدْ,لا تَعْبُدْ
قَالَ,يَقُولُ,القَوْلُ,বলা,نَصَرَ,قُلْ,لا تَقُلْ
قَامَ,يَقُومُ,القِيَامُ,দাঁড়ানো,نَصَرَ,قُمْ,لا تَقُمْ
سَمِعَ,يَسْمَعُ,السَمْعُ,শোনা,سَمِعَ,اِسْمَعْ,لا تَسْمَعْ
شَرِبَ,يَشْرَبُ,الشَّرْبُ,পান করা,سَمِعَ,اِشْرَبْ,لا تَشْرَبْ
حَمِدَ,يَحْمَدُ,الحَمْدُ,প্রশংসা করা,سَمِعَ,اِحْمَدْ,لا تَحْمَدْ
لَبِسَ,يَلْبَسُ,اللُبْسُ,পরিধান করা,سَمِعَ,اِلْبَسْ,لا تَلْبَسْ
رَكِبَ,يَرْكَبُ,الرُكُوبُ,সওয়ার হওয়া,سَمِعَ,اِرْكَبْ,لا تَرْكَبْ
قَدِمَ,يَقْدَمُ,القُدُومُ,আগমন করা,سَمِعَ,اِقْدَمْ,لا تَقْدَمْ
حَفِظَ,يَحْفَظُ,الحِفْظُ,সংরক্ষণ করা,سَمِعَ,اِحْفَظْ,لا تَحْفَظْ
ضَحِكَ,يَضْحَكُ,الضَحْكُ,হাসা,سَمِعَ,اِضْحَكْ,لا تَضْحَكْ
عَلِمَ,يَعْلَمُ,العِلْمُ,জানা,سَمِعَ,اِعْلَمْ,لا تَعْلَمْ
فَهِمَ,يَفْهَمُ,الفَهْمُ,বোঝা,سَمِعَ,اِفْهَمْ,لا تَفْهَمْ
غَضِبَ,يَغْضَبُ,الغَضَبُ,রাগান্বিত হওয়া,سَمِعَ,اِغْضَبْ,لا تَغْضَبْ
لَعِبَ,يَلْعَبُ,اللَعِبُ,খেলা,سَمِعَ,اِلْعَبْ,لا تَلْعَبْ
حَزِنَ,يَحْزَنُ,الحُزْنُ,চিন্তিত / দুঃখিত হওয়া,سَمِعَ,اِحْزَنْ,لا تَحْزَنْ
كَرِهَ,يَكْرَهُ,الكَرَاهَةُ,গ্ঘৃণা করা,سَمِعَ,اِكْرَهْ,لا تَكْرَهْ
فَرِحَ,يَفْرَحُ,الفَرْحُ,খুশি হওয়া,سَمِعَ,اِفْرَحْ,لا تَفْرَحْ
شَهِدَ,يَشْهَدُ,الشَهَادَةُ,সাক্ষ্য দেওয়া,سَمِعَ,اِشْهَدْ,لا تَشْهَدْ
حَذِرَ,يَحْذَرُ,الحَذَرُ,সতর্ক হওয়া,سَمِعَ,اِحْذَرْ,لا تَحْذَرْ
نَسِيَ,يَنسَى,النِسْيَانُ,ভুলে যাওয়া,سَمِعَ,اِنْسَ,لا تَنْسَ
بَقِيَ,يَبْقَى,البَقَاءُ,বাকি থাকা,سَمِعَ,اِبْقَ,لا تَبْقَ
خَجِلَ,يَخْجَلُ,الخَجَلُ,লজ্জিত হওয়া,سَمِعَ,اِخْجَلْ,لا تَخْجَلْ
لَقِيَ,يَلْقَى,اللِقَاءُ,সাক্ষাৎ করা,سَمِعَ,اِلْقَ,لا تَلْقَ
تَعِبَ,يَتْعَبُ,التَعَبُ,ক্লান্ত হওয়া,سَمِعَ,اِتْعَبْ,لا تَتْعَبْ
رَغِبَ,يَرْغَبُ,الرَغْبَةُ,আগ্রহী হওয়া,سَمِعَ,اِرْغَبْ,لا تَرْغَبْ
قَبِلَ,يَقْبَلُ,القَبْلُ,গ্রহণ করা,سَمِعَ,اِقْبَلْ,لا تَقْبَلْ
مَرِضَ,يَمْرَضُ,المَرَضُ,অসুস্থ হওয়া,سَمِعَ,اِمْرَضْ,لا تَمْرَضْ
قَرُبَ,يَقْرُبُ,القُرْبُ,নিকটবর্তী হওয়া,كَرُمَ,اُقْرُبْ,لا تَقْرُبْ
بَعُدَ,يَبْعُدُ,البُعْدُ,দূরবর্তী হওয়া,كَرُمَ,اُبْعُدْ,لا تَبْعُدْ
كَثُرَ,يَكْثُرُ,الكَثْرَةُ,বৃদ্ধি পাওয়া,كَرُمَ,اُكْثُرْ,لا تَكْثُرْ
حَسُنَ,يَحْسُنُ,الحُسْنُ,সুন্দর হওয়া,كَرُمَ,اُحْسُنْ,لا تَحْسُنْ
كَبُرَ,يَكْبُرُ,الكِبَرُ,বড় হওয়া,كَرُمَ,اُكْبُرْ,لا تَكْبُرْ
صَعُبَ,يَصْعُبُ,الصُعُوبَةُ,কঠিন হওয়া,كَرُمَ,اُصْعُبْ,لا تَصْعُبْ
طَهُرَ,يَطْهُرُ,الطَهَارَةُ,পবিত্র হওয়া,كَرُمَ,اُطْهُرْ,لا تَطْهُرْ
كَرُمَ,يَكْرُمُ,الكَرَمِ,উদার হওয়া,كَرُمَ,اُكْرُمْ,لا تَكْرُمْ
ضَرَبَ,يَضْرِبُ,الضَرْبُ,আঘাত করা,ضَرَبَ,اِضْرِبْ,لا تَضْرِبْ
غَلَبَ,يَغْلِبُ,الغَلَبَةُ,জয় লাভ করা,ضَرَبَ,اِغْلِبْ,لا تَغْلِبْ
قَصَدَ,يَقْصِدُ,القَصْدُ,ইচ্ছা করা,ضَرَبَ,اِقْصِدْ,لا تَقْصِدْ
كَذَبَ,يَكْذِبُ,الكَذِبُ,মিথ্যা বলা,ضَرَبَ,اِكْذِبْ,لا تَكْذِبْ
غَفَرَ,يَغْفِرُ,الغُفْرَانِ,মাফ করা,ضَرَبَ,اِغْفِرْ,لا تَغْفِرْ
عَرَفَ,يَعْرِفُ,المَعْرِفَةُ,জানা,ضَرَبَ,اِعْرِفْ,لا تَعْرِفْ
هَلَكَ,يَهْلِكُ,الهَلَاكُ,ধ্বংস হওয়া,ضَرَبَ,اِهْلِكْ,لا تَهْلِكْ
صَبَرَ,يَصْبِرُ,الصَبْرُ,ধৈর্য ধারণ করা,ضَرَبَ,اِصْبِرْ,لا تَصْبِرْ
غَسَلَ,يَغْسِلُ,الغَسْلُ,ধোয়া,ضَرَبَ,اِغْسِلْ,لا تَغْسِلْ
ظَلَمَ,يَظْلِمُ,الظُلْمُ,অত্যাচার করা,ضَرَبَ,اِظْلِمْ,لا تَظْلِمْ
جَلَسَ,يَجْلِسُ,الجُلُوسُ,বসা,ضَرَبَ,اِجْلِسْ,لا تَجْلِسْ
نَزَلَ,يَنزِلُ,النُزُولُ,নামা,ضَرَبَ,اِنْزِلْ,لا تَنْزِلْ
خَتَمَ,يَخْتِمُ,الخَتْمُ,শেষ করা,ضَرَبَ,اِخْتِمْ,لا تَخْتِمْ
كَسَبَ,يَكْسِبُ,الكَسْبُ,উপার্জন করা,ضَرَبَ,اِكْسِبْ,لا تَكْسِبْ
رَجَعَ,يَرْجِعُ,الرُجُوعُ,ফেরা,ضَرَبَ,اِرْجِعْ,لا تَرْجِعْ
حَمَلَ,يَحْمِلُ,الحَمْلُ,বহন করা,ضَرَبَ,اِحْمِلْ,لا تَحْمِلْ
فَقَدَ,يَفْقِدُ,الفُقْدَانُ,হারানো,ضَرَبَ,اِفْقِدْ,لا تَفْقِدْ
وَجَدَ,يَجِدُ,الوُجُودُ,পাওয়া,ضَرَبَ,جِدْ,لا تَجِدْ
وَصَلَ,يَصِلُ,الوَصْلُ,পৌঁছাা,ضَرَبَ,صِلْ,لا تَصِلْ
زَادَ,يَزِيدُ,الزِيَاَدَةُ,বৃদ্ধি করা,ضَرَبَ,زِدْ,لا تَزِدْ
عَمَلَ,يَعْمَلُ,العَمَلُ,কাজ করা,فَتَحَ,اِعْمَلْ,لا تَعْمَلْ
رَقَدَ,يَرْقُدُ,الرُّقُودُ,ঘুমানো,نَصَرَ,اُرْقُدْ,لا تَرْقُدْ
حَضَرَ,يَحْضُرُ,الحُضُورُ,উপস্থিত হওয়া,نَصَرَ,اُحْضُرْ,لا تَحْضُرْ
صَدَقَ,يَصْدُقُ,الصِّدْقُ,সত্য বলা,ضَرَبَ,اُصْدُقْ,لا تَصْدُقْ
سَبَحَ,يَسْبَحُ,السِّبَاحَةُ,সাঁতার কাটা,فَتَحَ,اِسْبَحْ,لا تَسْبَحْ
كَتَبَ,يَكْتُبُ,الكِتَابَةُ,লিখা,نَصَرَ,اُكْتُبْ,لا تَكْتُبْ
قَلَقَ,يَقْلِقُ,قَلَقَ,উদ্বিগ্ন হওয়া,ضَرَبَ,اِقْلِقْ,لا تَقْلِقْ
أَخْرَجَ,يُخْرِجُ,الإِخْرَاجُ,বের করা,الْإِفْعَالْ,أَخْرِجْ,لا تُخْرِجْ
أَنْزَلَ,يُنْزِلُ,الإِنْزَالُ,অবতীর্ন করা,الْإِفْعَالْ,أَنْزِلْ,لا تُنْزِلْ
أَرْسَلَ,يُرْسِلُ,الإِرْسَالُ,প্রেরণ করা,الْإِفْعَالْ,أَرْسِلْ,لا تُرْسِلْ
أَحْضَرَ,يُحْضِرُ,الإِحْضَارُ,উপস্থিত করা,الْإِفْعَالْ,أَحْضِرْ,لا تُحْضِرْ
أَنْذَرَ,يُنْذِرُ,الإِنْذَارُ,সতর্ক করা,الْإِفْعَالْ,أَنْذِرْ,لا تُنْذِرْ
أَسْرَفَ,يُسْرِفُ,الإِسْرَافُ,অপব্যয় করা,الْإِفْعَالْ,أَسْرِفْ,لا تُسْرِفْ
أَنْفَقَ,يُنْفِقُ,الإِنْفَاقُ,ব্যয় করা,الْإِفْعَالْ,أَنْفِقْ,لا تُنْفِقْ
أَخْبَرَ,يُخْبِرُ,الإِخْبَارُ,জানানো,الْإِفْعَالْ,أَخْبِرْ,لا تُخْبِرْ
أَعْلَنَ,يُعْلِنُ,الإِعْلَانُ,ঘোষণা করা,الْإِفْعَالْ,أَعْلِنْ,لا تُعْلِنْ
أَنْشَأَ,يُنْشِأُ,الإِنْشَاءُ,তৈরী করা,الْإِفْعَالْ,أَنْشِئْ,لا تُنْشِئْ
أَنْقَذَ,يُنْقِذُ,الإِنْقَاذُ,রক্ষা করা,الْإِفْعَالْ,أَنْقِذْ,لا تُنْقِذْ
أَطْعَمَ,يُطْعِمُ,الإِطْعَامُ,খাওয়ানো,الْإِفْعَالْ,أَطْعِمْ,لا تُطْعِمْ
أَكْرَمَ,يُكْرِمُ,الإِكْرَامُ,সম্মান করা,الْإِفْعَالْ,أَكْرِمْ,لا تُكْرِمْ
أَرْشَدَ,يُرْشِدُ,الإِرْشَادُ,পথ প্রদর্শন করা,الْإِفْعَالْ,أَرْشِدْ,لا تُرْشِدْ
أَصْلَحَ,يُصْلِحُ,الإِصْلَاحُ,সংশোধন করা,الْإِفْعَالْ,أَصْلِحْ,لا تُصْلِحْ
أَبْصَرَ,يُبْصِرُ,الإِبْصَارُ,দেখা,الْإِفْعَالْ,أَبْصِرْ,لا تُبْصِرْ
أَعْجَبَ,يُعْجِبُ,الإِعْجَابُ,অবাক করা,الْإِفْعَالْ,أَعْجِبْ,لا تُعْجِبْ
أَهْلَكَ,يُهْلِكُ,الإِهْلَاكُ,ধ্বংস করা,الْإِفْعَالْ,أَهْلِكْ,لا تُهْلِكْ
أَعَدَّ,يُعِدُّ,الإِعْدَادُ,প্রস্তুত করা,الْإِفْعَالْ,أَعِدَّ,لا تُعِدَّ
أَحَبَّ,يُحِبُّ,الإِحْبَابُ,ভালবাসা/পছন্দ করা,الْإِفْعَالْ,أَحْبِبْ,لا تُحْبِبْ
أَعْطَى,يُعْطِي,الإِعْطَاءُ,দেওয়া,الْإِفْعَالْ,أَعْطِ,لا تُعْطِ
آمَنَ,يُؤْمِنُ,الإِيمَانُ,বিশ্বাস করা,الْإِفْعَالْ,آمِنْ,لا تُؤْمِنْ
أَقَامَ,يُقِيمُ,الإِقَامَةُ,প্রতিষ্ঠা করা,الْإِفْعَالْ,أَقِمْ,لا تُقِمْ
أَحَاطَ,يُحِيطُ,الإِحَاطَةُ,বেষ্টন করা,الْإِفْعَالْ,أَحِطْ,لا تُحِطْ
أَضَاءَ,يُضِيءُ,الإِضَاءَةُ,আলোকিত করা,الْإِفْعَالْ,أَضِئْ,لا تُضِئْ
أَزَالَ,يُزِيلُ,الإِزَالَةُ,দূর করা,الْإِفْعَالْ,أَزِلْ,لا تُزِلْ
أَجَابَ,يُجِيبُ,الإِجَابَةُ,উত্তর দেওয়া,الْإِفْعَالْ,أَجِبْ,لا تُجِبْ
قَاتَلَ,يُقَاتِلُ,المُقَاتَلَةُ,লড়াই করা,اَلْمُفَاعَلَةُ,قَاتِلْ,لا تُقَاتِلْ
سَاعَدَ,يُسَاعِدُ,المُسَاعَدَةُ,সহায়তা করা,اَلْمُفَاعَلَةُ,سَاعِدْ,لا تُسَاعِدْ
شَاهَدَ,يُشَاهِدُ,المُشَاهَدَةُ,দেখা,اَلْمُفَاعَلَةُ,شَاهِدْ,لا تُشَاهِدْ
خَالَفَ,يُخَالِفُ,المُخَالَفَةُ,বিরোধিতা করা,اَلْمُفَاعَلَةُ,خَالِفْ,لا تُخَالِفْ
هَاجَرَ,يُهَاجِرُ,المُهَاجَرَةُ,হিজরত করা,اَلْمُفَاعَلَةُ,هَاجِرْ,لا تُهَاجِرْ
سَافَرَ,يُسَافِرُ,المُسَافَرَةُ,ভ্রমণ করা,اَلْمُفَاعَلَةُ,سَافِرْ,لا تُسَافِرْ
وَاجَهَ,يُوَاجِهُ,المُوَاجَهَةُ,সম্মুখীন হওয়া,اَلْمُفَاعَلَةُ,وَاجِهْ,لا تُوَاجِهْ
خَادَعَ,يُخَادِعُ,المُخَادَعَةُ,ধোঁকা দেয়া,اَلْمُفَاعَلَةُ,خَادِعْ,لا تُخَادِعْ
قَابَلَ,يُقَابِلُ,المُقَابَلَةُ,সাক্ষাৎ করা,اَلْمُفَاعَلَةُ,قَابِلْ,لا تُقَابِلْ
سَابَقَ,يُسَابِقُ,المُسَابَقَةُ,প্রতিযোগিতা করা,اَلْمُفَاعَلَةُ,سَابِقْ,لا تُسَابِقْ
جَالَسَ,يُجَالِسُ,المُجَالَسَةُ,উঠাবসা / মেলামেশা করা,اَلْمُفَاعَلَةُ,جَالِسْ,لا تُجَالِسْ
حَاوَلَ,يُحَاوِلُ,المُحَاوَلَةُ,চেষ্টা করা,اَلْمُفَاعَلَةُ,حَاوِلْ,لا تُحَاوِلْ
لَاحَظَ,يُلَاحِظُ,المُلَاحَظَةُ,মন্তব্য করা,اَلْمُفَاعَلَةُ,لَاحِظْ,لا تُلَاحِظْ
جَاهَدَ,يُجَاهِدُ,المُجَاهَدَةُ,জিহাদ করা,اَلْمُفَاعَلَةُ,جَاهِدْ,لا تُجَاهِدْ
جَادَلَ,يُجَادِلُ,المُجَادَلَةُ,ঝগড়া করা,اَلْمُفَاعَلَةُ,جَادِلْ,لا تُجَادِلْ
شَاوَرَ,يُشَاوِرُ,المُشَاوَرَةُ,পরামর্শ করা,اَلْمُفَاعَلَةُ,شَاوِرْ,لا تُشَاوِرْ
شَابَهَ,يُشَابِهُ,المُشَابَهَةُ,সাদৃশ্য হওয়া,اَلْمُفَاعَلَةُ,شَابِهْ,لا تُشَابِهْ
نَادَى,يُنَادِي,المُنَادَاةُ,ডাকা,اَلْمُفَاعَلَةُ,نَادِ,لا تُنَادِ
غَادَرَ,يُغَادِرُ,المُغَادَرَةُ,ত্যাগ করা,اَلْمُفَاعَلَةُ,غَادِرْ,لا تُغَادِرْ
بَارَكَ,يُبَارِكُ,المُبَارَكَةُ,বরকত দেওয়া,اَلْمُفَاعَلَةُ,بَارِكْ,لا تُبَارِكْ
وَافَقَ,يُوَافِقُ,المُوَافَقَةُ,সম্মতি দেওয়া,اَلْمُفَاعَلَةُ,وَافِقْ,لا تُوَافِقْ
عَانَى,يُعَانِي,المُعَانَاةُ,ভোগা,اَلْمُفَاعَلَةُ,عَانِ,لا تُعَانِ
صَرَفَ,يَصْرِفُ,التَّصْرِوفُ,পরিবর্তন করা,التَّفْعِيلُ,اِصْرِفْ,لا تَصْرِفْ
عَلَّمَ,يُعَلِّمُ,التَّعْلِيمُ,শিক্ষা দেয়া,التَّفْعِيلُ,عَلِّمْ,لا تُعَلِّمْ
دَرَّسَ,يُدَرِّسُ,التَّدْرِيسُ,শিক্ষা দেয়া,التَّفْعِيلُ,دَرِّسْ,لا تُدَرِّسْ
صَدَّقَ,يُصَدِّقُ,التَّصْدِيقُ,সত্যায়ন করা,التَّفْعِيلُ,صَدِّقْ,لا تُصَدِّقْ
كَذَّبَ,يُكَذِّبُ,التَّكْذِيبُ,মিথ্যা মনে করা,التَّفْعِيلُ,كَذِّبْ,لا تُكَذِّبْ
زَيَّنَ,يُزَيِّنُ,التَّزْيِينُ,সাজানো,التَّفْعِيلُ,زَيِّنْ,لا تُزَيِّنْ
نَوَّرَ,يُنَوِّرُ,التَّنْوِيرُ,আলোকিত করা,التَّفْعِيلُ,نَوِّرْ,لا تُنَوِّرْ
شَجَّعَ,يُشَجِّعُ,التَّشْجِيعُ,প্রেরণা দেয়া,التَّفْعِيلُ,شَجِّعْ,لا تُشَجِّعْ
عَذَّبَ,يُعَذِّبُ,التَّعْذِيبُ,শাস্তি দেয়া,التَّفْعِيلُ,عَذِّبْ,لا تُعَذِّبْ
ذَكَّرَ,يُذَكِّرُ,التَّذْكِيرُ,স্মরণ করা,التَّفْعِيلُ,ذَكِّرْ,لا تُذَكِّرْ
نَبَّهَ,يُنَبِّهُ,التَّنْبِيهُ,সতর্ক করা,التَّفْعِيلُ,نَبِّهْ,لا تُنَبِّهْ
سَلَّمَ,يُسَلِّمُ,التَّسْلِيمُ,সালাম দেয়া,التَّفْعِيلُ,سَلِّمْ,لا تُسَلِّمْ
كَلَّمَ,يُكَلِّمُ,التَّكْلِيمُ,কথা বলা,التَّفْعِيلُ,كَلِّمْ,لا تُكَلِّمْ
سَبَّحَ,يُسَبِّحُ,التَّسْبِيحُ,তসবীহ পড়া,التَّفْعِيلُ,سَبِّحْ,لا تُسَبِّحْ
حَدَّثَ,يُحَدِّثُ,التَّحْدِيثُ,বর্ণনা করা,التَّفْعِيلُ,حَدِّثْ,لا تُحَدِّثْ
بَشَّرَ,يُبَشِّرُ,التَّبْشِيرُ,সুসংবাদ দেয়া,التَّفْعِيلُ,بَشِّرْ,لا تُبَشِّرْ
قَرَّرَ,يُقَرِّرُ,التَّقْرِيرُ,সিদ্ধান্ত নেয়া,التَّفْعِيلُ,قَرِّرْ,لا تُقَرِّرْ
نَزَّلَ,يُنَزِّلُ,التَّنْزِيلُ,অবতীর্ণ করা,التَّفْعِيلُ,نَزِّلْ,لا تُنَزِّلْ
ضَيَّعَ,يُضَيِّعُ,التَّضْيِيعُ,নষ্ট করা,التَّفْعِيلُ,ضَيِّعْ,لا تُضَيِّعْ
رَجَا,يَرْجُو,رَجَاءٌ,প্রত্যাশা করা,نَصَرَ,اُرْجُ,لا تَرْجُ
خَافَ,يَخَافُ,خَوْفٌ,ভয় পাওয়া,نَصَرَ,خِفْ,لا تَخَفْ
اِغْتَسَلَ,يَغْتَسِلُ,اَلْاِعْتِسَالُ,গোসল করা,الاِفْتِعَال,اِغْتَسِلْ,لا تَغْتَسِلْ
اِعْتَمَدَ,يَعْتَمِدُ,اَلْاِعْتِمَادُ,নির্ভর করা,الاِفْتِعَال,اِعْتَمِدْ,لا تَعْتَمِدْ
اِجْتَنَبَ,يَجْتَنِبُ,اَلْاِجْتِنَابُ,পরিত্যাগ করা,الاِفْتِعَال,اِجْتَنِبْ,لا تَجْتَنِبْ
اِسْتَمَعَ,يَسْتَمِعُ,اَلْاِسْتِمَاعُ,মনোযোগ দিয়ে শ্রবণ করা,الاِفْتِعَال,اِسْتَمِعْ,لا تَسْتَمِعْ
اِنْتَقَلَ,يَنْتَقِلُ,اَلْاِنْتِقَالُ,স্থানান্তরিত হওয়া,الاِفْتِعَال,اِنْتَقِلْ,لا تَنْتَقِلْ
اِشْتَغَلَ,يَشْتَغِلُ,اَلْاِشْتِغَالُ,নিয়োজিত হওয়া,الاِفْتِعَال,اِشْتَغِلْ,لا تَشْتَغِلْ
اِخْتَتَمَ,يَخْتَتِمُ,اَلْاِخْتِتَامُ,শেষ করা ,الاِفْتِعَال,اِخْتَتِمْ,لا تَخْتَتِمْ
اِكْتَسَبَ,يَكْتَسِبُ,اَلْاِكْتِسَابُ,উপার্জন করা,الاِفْتِعَال,اِكْتَسِبْ,لا تَكْتَسِبْ
اِلْتَمَسَ,يَلْتَمِسُ,اَلْاِلْتِمَاسُ,অনুরোধ করা,الاِفْتِعَال,اِلْتَمِسْ,لا تَلْتَمِسْ
اِلْتَحَقَ,يَلْتَحِقُ,اَلْاِلْتِحَاقُ,ভর্তি হওয়া,الاِفْتِعَال,اِلْتَحِقْ,لا تَلْتَحِقْ
اِنْتَبَهَ,يَنْتَبِهُ,اَلْاِنْتِبَاهُ,সতর্ক থাকা,الاِفْتِعَال,اِنْتَبِهْ,لا تَنْتَبِهْ
اِنْتَشَرَ,يَنْتَشِرُ,اَلْاِنْتِشَارُ,ছড়িয়ে পরা,الاِفْتِعَال,اِنْتَشِرْ,لا تَنْتَشِرْ
اِخْتَلَفَ,يَخْتَلِفُ,اَلْاِخْتِلَافُ,মতভেদ করা,الاِفْتِعَال,اِخْتَلِفْ,لا تَخْتَلِفْ
اِتَّخَذَ,يَتَّخِذُ,الّاِتََِّذاُ,গ্রহন করা,الاِفْتِعَال,اِتَّخِذْ,لا تَتَّخِذْ
